"","...1","ID","net_inc_percap2019","net_inc2019","plr","year","Nom","udc","pdc","ps","pes","pvl","pbd","pev_pcs","perc","dec","taux_participation"
"1936",1936,3669,19550,3,5.9,2019,"Tschappina",22.7,6.8,7.4,10.8,10.2,36.3,NA,1,1,67
"1937",1937,3932,27635,8,15.2,2019,"Tschiertschen-Praden",38.5,7.5,5.6,8.5,5.6,19,NA,10,1,39.5
"1938",1938,501,33067,16,6.2,2019,"Tschugg",32,0.9,10.7,19.8,11.1,11.1,4.3,39,4,50.9
"1939",1939,1347,43617,144,30,2019,"Tuggen",40.2,13.1,8.8,2.9,4.5,NA,0.5,84,9,43
"1940",1940,3986,31776,38,3.7,2019,"Tujetsch",20.9,57.5,7.4,3,3.9,3.6,NA,31,4,47.5
"1941",1941,228,29894,146,8.1,2019,"Turbenthal",43,2.9,12.6,9.3,8.9,2.7,7.5,20,2,42.6
"1942",1942,4042,33100,99,12.7,2019,"Turgi",21.1,7.9,28,15.6,8.3,2.1,1.4,39,4,44.1
"1943",1943,6119,26916,30,1.8,2019,"Turtmann-Unterems",33.4,52.8,7.9,3.7,0.2,NA,0.2,8,1,72.1
"1944",1944,756,43277,50,14,2019,"Twann-Tüscherz",23.4,0.8,17.5,16.6,11.8,9.1,1.5,83,9,49.9
"1945",1945,4077,33837,50,10.3,2019,"Tägerig",39.8,11,13.9,5.8,8.4,4.1,2.8,44,5,51.8
"1946",1946,4696,38342,183,13.3,2019,"Tägerwilen",26.3,15.6,14.9,11.5,10.3,1.9,4.1,68,7,41.1
"1947",1947,6295,23427,31,3.4,2019,"Täsch",33.7,50.4,4.7,6,1.8,NA,0,3,1,46.3
"1948",1948,751,38950,113,16.2,2019,"Täuffelen",28.9,1.5,15,12.4,9.5,9.2,2.5,70,8,47.5
"1949",1949,5571,34571,31,11.2,2019,"Tévenon",27.6,1.2,22.1,23,6.1,1,1.3,48,5,45.4
"1950",1950,6296,31618,15,1.3,2019,"Törbel",18.1,76.7,1.7,2,0.2,NA,0,30,3,76.7
"1951",1951,3218,44914,65,13.1,2019,"Tübach",44.2,14.8,8.9,7.5,8.7,0.9,0.8,86,9,49.4
"1952",1952,1067,43501,100,20.6,2019,"Udligenswil",24.8,18.5,8.3,9.8,16.5,NA,1,84,9,56.7
"1953",1953,2308,37872,90,8.4,2019,"Ueberstorf",24.7,33.2,13.3,7.2,4.9,1.5,4.5,66,7,46.9
"1954",1954,943,27662,19,4.4,2019,"Uebeschi",45.2,0.6,6.8,5.8,5.6,7.3,7.3,10,1,55.8
"1955",1955,4179,37595,33,6.4,2019,"Ueken",41,12.8,11.8,8.6,9.4,3.7,2.5,65,7,40
"1956",1956,4286,35932,48,10.5,2019,"Uerkheim",53,4.2,10.3,5.5,4.6,3.5,5.3,57,6,40.5
"1957",1957,4616,40447,44,9,2019,"Uesslingen-Buch",46.7,12.3,8.6,9,9.2,1,3.7,76,8,51.5
"1958",1958,944,33205,194,5.2,2019,"Uetendorf",47.3,1.3,9.6,8.8,7.2,5.6,8.2,40,5,50.4
"1959",1959,159,64468,400,19.7,2019,"Uetikon am See",29.9,4.2,12.9,11,13.9,2.1,2.9,97,10,52.4
"1960",1960,4078,37997,19,8.1,2019,"Uezwil",51.6,13.2,7.9,5.2,4,3.3,2.4,67,7,44.5
"1961",1961,1145,25340,23,8.8,2019,"Ufhusen",34.8,46.7,2.6,2.4,2.6,NA,1.6,4,1,51.3
"1962",1962,248,92309,431,30.5,2019,"Uitikon",28.1,5,7.1,8.2,16.8,1.3,1,100,10,56.5
"1963",1963,2278,34726,16,11.3,2019,"Ulmiz",40.6,7.3,12.2,10.4,10.6,2.2,3.8,49,5,42.9
"1964",1964,6201,33550,15,0.9,2019,"Unterbäch",19.3,67.9,5.1,6.4,0.2,NA,0,43,5,57.6
"1965",1965,3219,38329,40,13,2019,"Untereggen",31.8,23.1,11.6,8.7,8.3,0.4,1.6,68,7,52
