"","...1","ID","net_inc_percap2019","net_inc2019","plr","year","Nom","udc","pdc","ps","pes","pvl","pbd","pev_pcs","perc","dec","taux_participation"
"533",533,84,37479,157,9.9,2019,"Dällikon",46.9,5.3,10.7,8.4,12.4,0.9,2.4,64,7,35
"534",534,2572,35430,103,22.5,2019,"Däniken",38,9.7,13.7,7.4,4.7,0.9,1.6,54,6,41.6
"535",535,85,38011,71,12.4,2019,"Dänikon",41.2,4.7,9,7.7,17.2,1.5,2.2,67,7,44.5
"536",536,575,29276,12,9.1,2019,"Därligen",34.4,0.2,15.3,8.4,6,9.4,5.1,17,2,40.6
"537",537,761,25436,22,3.9,2019,"Därstetten",67.9,0.5,5.2,3.4,3.9,5.2,0.8,4,1,57.8
"538",538,215,48014,37,12,2019,"Dättlikon",36.7,2.3,14.7,11,14.8,1.7,4.3,89,9,59
"539",539,5912,28634,4,28.6,2019,"Démoret",23.5,0.4,6,22.6,5.3,2.3,2.7,14,2,63.8
"540",540,2915,40517,42,15.8,2019,"Dörflingen",46,0.8,20.4,5.3,4.7,NA,1.5,76,8,66.6
"541",541,4304,32593,135,15.9,2019,"Döttingen",39.3,15.6,12.5,5.6,5.3,1.9,1.7,36,4,41.2
"542",542,191,41790,1225,11,2019,"Dübendorf",31.2,5.2,14.7,10.2,17.2,4,2.9,79,8,36.1
"543",543,2293,36595,299,9.5,2019,"Düdingen",20.8,23,19,13.4,5.8,1,5.5,60,6,45.5
"544",544,113,36293,276,10.5,2019,"Dürnten",36.4,7.3,10,11.4,11.5,1.7,4.6,59,6,44.7
"545",545,952,23815,25,2.9,2019,"Dürrenroth",60.8,0.5,4.8,4.8,2.7,8.8,3.9,3,1,47.4
"546",546,4134,33446,42,10.4,2019,"Dürrenäsch",47.6,3.9,7.9,4.7,1.8,2.3,15.4,42,5,51
"547",547,1126,25376,9,20.8,2019,"Ebersecken",36,36.3,2.7,2.6,0.7,NA,0.1,4,1,62.7
"548",548,1054,34141,473,13.7,2019,"Ebikon",26.2,21.4,17.5,12.1,7.8,NA,0.8,45,5,40.1
"549",549,3352,27641,138,13.8,2019,"Ebnat-Kappel",40.4,11.4,13.7,9.1,4.2,0.5,3.5,10,1,49.1
"550",550,5518,34224,196,20.2,2019,"Echallens",16.9,4.1,20,19.7,12.3,0.3,1.4,46,5,41.5
"551",551,5633,46153,126,30.4,2019,"Echandens",16.3,2.4,18.8,16.8,8.5,0.7,1.5,87,9,47.6
"552",552,2131,39771,33,29.6,2019,"Echarlens",14.4,15.3,17.7,11.2,7.3,0.2,1.7,74,8,45.6
"553",553,5634,50159,154,23.6,2019,"Echichens",20.8,2,15.6,18.5,12.9,0.4,1.6,91,10,49.4
"554",554,5482,37065,45,24.5,2019,"Eclépens",21.6,3.2,20.4,15.6,7.4,0.1,2,63,7,44.2
"555",555,2072,41555,14,11.1,2019,"Ecublens (FR)",21.6,24.9,12.5,17.8,3.2,0,3.3,79,8,42.3
"556",556,5635,29520,386,21.6,2019,"Ecublens (VD)",16,3.3,26.9,18.1,7.2,0.2,1,18,2,35.1
"557",557,6713,23930,3,0,2019,"Ederswiler",71.4,20,0,8.6,NA,NA,0,3,1,35
"558",558,4096,36993,23,9.9,2019,"Effingen",39.3,6.9,15.5,8.7,11,2.7,2.8,62,7,48.3
"559",559,2401,33760,128,30.3,2019,"Egerkingen",28.1,21.6,7.2,4.8,4,1.7,0.9,43,5,42.5
"560",560,192,48137,423,15.6,2019,"Egg",33.7,4.2,12,12,14.3,2.4,2.6,89,9,49
"561",561,4066,40348,42,11.6,2019,"Eggenwil",34.5,7.5,15.6,11.3,9.4,4,2.3,75,8,51.7
"562",562,6004,32238,11,0.8,2019,"Eggerberg",32.8,54.3,8.2,3.4,0.6,NA,0,34,4,66
"563",563,3212,34091,80,11,2019,"Eggersriet",29.8,24.5,9.7,13.6,7.2,0.8,1.8,45,5,47.6
"564",564,901,20859,52,2.2,2019,"Eggiwil",67.1,0.6,2.4,3.7,3.2,8.6,3.1,1,1,40.6
"565",565,55,41609,222,10.6,2019,"Eglisau",30.5,3.8,16.4,11.2,16.9,1.4,4.3,79,8,47.4
"566",566,4195,37685,56,11.8,2019,"Egliswil",40,6.4,12.7,8.6,8.1,3.6,6.4,65,7,46.4
"567",567,4411,36519,172,14.3,2019,"Egnach",38.9,10.3,10.6,9,7.8,2.2,3.9,60,6,47.3
"568",568,1127,38237,58,18.6,2019,"Egolzwil",20.3,42.7,4.9,7.4,4.7,NA,0.9,68,7,49.8
"569",569,4049,40351,195,13,2019,"Ehrendingen",30.2,12.9,13.5,9.6,9.6,3.2,4.2,75,8,49
"570",570,1084,57213,93,19.6,2019,"Eich",33.6,27.8,5.5,6.6,6,NA,0.4,95,10,57.5
"571",571,3252,31533,48,12,2019,"Eichberg",44.7,16.8,6.5,6.7,6.8,0.3,1.4,30,3,46.8
"572",572,4161,36453,84,11,2019,"Eiken",34.8,12.9,16.9,8.8,4.5,4.9,2.3,59,6,34.2
"573",573,1301,37886,610,19.8,2019,"Einsiedeln",33.7,25.7,13.2,2.6,4.6,NA,0.5,67,7,49.5
"574",574,6194,29884,13,0.6,2019,"Eischoll",36.6,58.3,1.9,1.7,0.4,NA,0,20,2,70.4
"575",575,6282,25588,5,0.2,2019,"Eisten",50.7,44.5,3.6,1,0,NA,0,4,1,66.7
"576",576,4097,38648,11,5.3,2019,"Elfingen",31.8,9.1,20.5,15.3,8.9,5.3,2.4,69,7,42.8
"577",577,294,36387,180,11.3,2019,"Elgg",36.9,3.6,13.6,10.3,13.6,1.4,5.8,59,6,48.1
"578",578,218,40008,36,5.7,2019,"Ellikon an der Thur",46.6,3.4,8.9,8.6,14,2.3,4.4,74,8,46.6
"579",579,219,37745,138,13.6,2019,"Elsau",31.4,4.9,12.6,12.5,13.9,2.5,4.3,66,7,48.2
"580",580,6283,27086,8,1,2019,"Embd",32.3,62.3,2.1,1.7,0.5,NA,0,9,1,60.3
"581",581,56,35696,336,10.7,2019,"Embrach",41.1,6,12.2,7.8,12,1.8,3.3,56,6,35.6
"582",582,1024,28374,881,14.9,2019,"Emmen",30.5,16.4,18.4,12.4,6,NA,1,13,2,36.6
"583",583,1504,41845,60,NA,2019,"Emmetten",67.9,32.1,NA,NA,NA,NA,NA,80,8,42.9
"584",584,4305,36348,93,13.7,2019,"Endingen",31,14.9,17.6,10.9,5.9,2,2.2,59,6,53.1
"585",585,1402,51015,214,8.7,2019,"Engelberg",57.5,23,2.3,NA,NA,NA,NA,92,10,60.5
"586",586,6453,37696,10,21.9,2019,"Enges",12.2,3.6,16.3,26.5,12.2,NA,NA,65,7,52.1
"587",587,4026,57523,201,17.3,2019,"Ennetbaden",10.9,9.1,29.1,14.5,12.5,1.8,2.6,95,10,65.6
"588",588,1505,53156,254,NA,2019,"Ennetbürgen",58.3,41.7,NA,NA,NA,NA,NA,93,10,52.5
"589",589,1506,35827,79,NA,2019,"Ennetmoos",68.2,31.8,NA,NA,NA,NA,NA,56,6,46.4
"590",590,1002,27752,91,17.5,2019,"Entlebuch",38,34.3,3.7,3.6,2.3,NA,0.4,10,2,55.1
"591",591,5584,45245,439,26.3,2019,"Epalinges",12.8,2.9,21.9,21.7,8.2,0.2,1.2,86,9,49.2
"592",592,2189,32752,36,17,2019,"Ependes (FR)",17.6,18.1,24.1,13,4,0.2,2.5,37,4,50.3
"593",593,5914,32935,12,26.5,2019,"Ependes (VD)",24.5,0.2,20.5,16.9,4.4,0.3,1.2,38,4,44.4
"594",594,2574,32537,11,37.4,2019,"Eppenberg-Wöschnau",28,4,7.3,11.8,8.1,0.5,0.5,36,4,36.4
"595",595,735,32085,11,2.7,2019,"Epsach",54,0.1,9.8,7.2,7,9.5,3.3,33,4,49.6
"596",596,2885,30683,16,11.1,2019,"Eptingen",53.4,3.1,8.1,16.5,6.2,0.2,1.3,25,3,46.4
"597",597,6104,29704,5,1.6,2019,"Ergisch",44.5,48.3,1.7,3.6,0.3,NA,0,19,2,85.4
"598",598,953,22910,31,2.3,2019,"Eriswil",49,0.9,7.2,5.9,7.1,10,4.4,2,1,41.5
"599",599,924,23382,11,0.7,2019,"Eriz",67.8,1.4,4.4,3.2,3.2,9.5,2.3,3,1,51.7
"600",600,492,37056,51,10.3,2019,"Erlach",27.9,1.3,17,19,9.6,7.1,1.4,63,7,47.8
"601",601,4476,29539,112,8.8,2019,"Erlen",46.1,12.9,9.2,8.3,4.8,2.3,2.2,18,2,41.9
"602",602,151,107339,600,30.2,2019,"Erlenbach (ZH)",25.3,4.3,9.5,10.6,16.3,1.2,1,100,10,55.3
"603",603,763,29796,52,4.7,2019,"Erlenbach im Simmental",51.6,0.6,7.1,7.8,7,6.2,1.5,19,2,49
"604",604,4005,44049,187,18.7,2019,"Erlinsbach (AG)",31.4,7.6,16.8,8.7,8.3,2.9,2.7,84,9,54.7
"605",605,2503,35067,125,12.7,2019,"Erlinsbach (SO)",28.3,14.6,15.9,12.5,9.1,2,2.7,52,6,43.8
"606",606,4646,47881,169,13.8,2019,"Ermatingen",33.1,9.4,12.7,20.7,6.6,1.5,1.1,89,9,48.7
"607",607,1025,35558,35,21.5,2019,"Ermensee",25.9,30.3,5.7,10,5,NA,0.6,55,6,55.1
"608",608,6056,31763,16,0.5,2019,"Ernen",23.9,52.4,8.2,12.7,2.3,NA,0.1,31,4,60.4
"609",609,2615,32403,30,17.4,2019,"Erschwil",33.1,32.6,7.1,3.8,2.8,1.6,0.4,35,4,48.6
"610",610,405,33500,68,7.1,2019,"Ersigen",44.7,1.3,10.7,7.5,8,11.7,3.5,42,5,50.9
"611",611,1206,27759,107,NA,2019,"Erstfeld",32,41.7,24.4,NA,NA,NA,NA,10,2,44.4
"612",612,1026,39184,142,14.4,2019,"Eschenbach (LU)",22.6,41.1,8,7.4,5.5,NA,0.5,71,8,54.4
"613",613,3342,34160,327,11.6,2019,"Eschenbach (SG)",43.7,19.2,5.8,9.1,6.4,1.1,0.8,46,5,40.2
"614",614,4806,34835,64,13.8,2019,"Eschenz",38.3,15.9,9.8,8.1,8.9,1.5,1.8,50,5,46.3
"615",615,692,32074,12,3.5,2019,"Eschert",47.4,3.6,11.1,12,7.1,1.6,4.9,33,4,35.6
"616",616,4724,40091,180,19,2019,"Eschlikon",33.1,11.3,9.2,12,8.1,2.1,2.7,74,8,45.6
"617",617,1010,24301,106,10.4,2019,"Escholzmatt-Marbach",37.7,42.2,3.7,3.5,1.8,NA,0.5,3,1,52.9
"618",618,5788,40748,15,25.1,2019,"Essertes",24.7,0.7,19.4,18.7,6.3,0.3,0.6,77,8,51.4
"619",619,5856,50348,37,29.2,2019,"Essertines-sur-Rolle",18.1,2.6,12.1,17.6,11.8,0.2,3.3,91,10,48.4
"620",620,5520,37857,39,23.2,2019,"Essertines-sur-Yverdon",24.1,2.2,14,18.9,8.4,1.1,2.7,66,7,44.2
"621",621,2054,32718,319,15.8,2019,"Estavayer",19.3,17.7,23.3,11.4,5.5,0.5,3.1,37,4,39.6
"622",622,5521,41570,48,21.5,2019,"Etagnières",16.9,6.7,18.2,21.5,8.8,0.8,0.4,79,8,39.4
"623",623,5636,41679,122,26.2,2019,"Etoy",13.4,2.3,20.1,19.9,12.1,0.5,1.5,79,8,47.4
"624",624,2768,43779,234,16.9,2019,"Ettingen",28.6,10.4,19.5,16,5.1,1.4,1.9,84,9,42.2
"625",625,1128,30258,83,25.4,2019,"Ettiswil",24.1,36.5,6.4,4.7,2.1,NA,0.6,22,3,50.2
"626",626,2518,37644,35,14.9,2019,"Etziken",33.9,22.8,12.8,6.5,5.2,2.2,0.2,65,7,41.7
"627",627,372,46083,122,16.4,2019,"Evilard",13.2,2.2,18.3,24.2,12.8,4.3,1.9,87,9,53.3
"628",628,6213,27920,36,17,2019,"Evionnaz",17.8,24.9,25.7,9.3,1.5,NA,2.7,11,2,48.9
"629",629,6083,31948,53,19.7,2019,"Evolène",12,49.6,8.7,7.2,0.4,NA,0.4,32,4,70.3
"630",630,5716,47657,83,24.9,2019,"Eysins",17.5,3.9,14.3,20.6,10.5,0.8,1.8,89,9,38.6
"631",631,925,30897,25,3.5,2019,"Fahrni",55.3,1,6.7,8.5,5.8,8.7,2.2,26,3,51.2
"632",632,4196,31476,72,9.5,2019,"Fahrwangen",38.6,6.7,14.7,7.2,11.3,3.3,6.2,29,3,37.7
"633",633,6789,28949,10,8.8,2019,"Fahy",24.4,22.7,31.5,8.4,NA,NA,4.2,15,2,40
"634",634,5072,28622,83,15.2,2019,"Faido",10.6,32.6,14.3,8.5,0.5,NA,NA,14,2,54
"635",635,3572,39085,24,7.2,2019,"Falera",29.3,45.4,6.3,1.9,7.8,2,NA,71,8,57.3
"636",636,5458,40789,36,14.3,2019,"Faoug",25.1,4.2,18.7,21,9.8,0.7,0.4,77,8,36.4
"637",637,975,33413,7,3,2019,"Farnern",63,0,12.6,4.6,6.2,4.6,0.1,41,5,47.5
"638",638,172,40490,263,14,2019,"Fehraltorf",33.9,3.1,11.9,12,15,2.6,4.1,76,8,44.3
"639",639,2616,34690,21,20.3,2019,"Fehren",44,14.8,4.1,8.7,5.3,1.5,0.2,49,5,45.4
"640",640,4561,35643,102,10.3,2019,"Felben-Wellhausen",45.5,8.5,11.5,6.7,8.3,3,3.5,55,6,38.7
"641",641,2544,81513,81,38.1,2019,"Feldbrunnen-St. Niklaus",18.3,15.5,9.6,7.7,7,1.1,0.9,99,10,65.2
"642",642,3731,33855,88,11.3,2019,"Felsberg",27.7,10.9,17.1,4.8,10.5,17.8,NA,44,5,46.6
"643",643,6195,28219,7,0.9,2019,"Ferden",18.3,74.4,4,0.9,1.4,NA,0.2,12,2,70.2
"644",644,662,33861,42,7,2019,"Ferenbalm",46.5,0.7,11.3,9,6,10,1.8,44,5,50.3
"645",645,2194,37912,10,20.6,2019,"Ferpicloz",21.2,19.9,20.5,7,5.5,0.4,3,67,7,43.8
"646",646,3713,38566,3,6.9,2019,"Ferrera",43.8,12.3,10,0.8,2.3,23.8,NA,69,7,43.8
"647",647,5483,40929,13,13.2,2019,"Ferreyres",15.7,3.6,20.8,32.9,7.2,0,0,77,8,56.4
"648",648,27,39811,144,9.1,2019,"Feuerthalen",31.5,5.2,18.7,11.9,14.3,2.3,3.3,74,8,39.6
"649",649,1321,157400,842,32.3,2019,"Feusisberg",39.2,12.8,8.5,1.4,5.5,NA,0.3,100,10,48.3
"650",650,5522,36350,27,23.8,2019,"Fey",24.7,2.4,16.4,16.1,8.5,0.4,2.7,59,6,40.7
"651",651,3861,31335,19,14.5,2019,"Fideris",36.1,4,13.3,5,18.4,8.7,NA,29,3,45.5
"652",652,6057,32050,29,3.1,2019,"Fiesch",29.4,52.3,4.6,8.6,1.5,NA,0,33,4,52.8
"653",653,6058,25343,8,0.4,2019,"Fieschertal",38.4,50.9,4.6,3.6,2.2,NA,0,4,1,61.9
"654",654,5556,36998,16,19.6,2019,"Fiez",16.7,0.5,20.2,22.7,11.3,0.3,5.1,62,7,46.3
"655",655,6214,30400,11,22.6,2019,"Finhaut",7.9,35.7,11.1,21.2,0.2,NA,1,23,3,55.1
"656",656,493,28763,17,4.5,2019,"Finsterhennen",40.2,0.9,7.4,7,9.3,15.5,3,14,2,47.8
"657",657,1129,26939,19,11.4,2019,"Fischbach",42.4,35.5,2.9,5.3,1.6,NA,0.5,8,1,47.8
"658",658,4067,36839,59,12.2,2019,"Fischbach-Göslikon",46.2,11.4,11.6,6.9,5.2,2.7,1,62,7,40.7
"659",659,114,30122,76,5.5,2019,"Fischenthal",55.2,1.5,9,9.4,6.3,1.9,3.4,21,3,43.8
"660",660,4726,34539,97,9.6,2019,"Fischingen",42.5,22.9,6.2,9.3,5.1,1.8,0.7,48,5,46.2
"661",661,4306,30134,15,6.1,2019,"Fisibach",44,19,10.8,7.3,4.1,3.2,2.6,22,3,43.7
"662",662,4027,35700,198,14.3,2019,"Fislisbach",26.6,13.3,16.8,7,9.5,5.1,4.4,56,6,43.4
"663",663,28,37594,53,9.9,2019,"Flaach",48.3,1.6,8.9,9.1,8.5,0.8,6.5,65,7,50.7
"664",664,3402,30540,318,17.5,2019,"Flawil",26.2,18.6,14.5,11.5,6.7,1.2,1.7,24,3,39.8
"665",665,3662,25830,6,11.7,2019,"Flerden",25.8,13.5,8.5,5.8,9.9,24.9,NA,5,1,57.1
"666",666,3732,42350,123,19.2,2019,"Flims",29.4,10.5,15.3,8,9.7,7.9,NA,81,9,45.3
"667",667,2545,35472,36,17.9,2019,"Flumenthal",31.8,10.8,18.6,7.3,6.6,2.5,1,55,6,42.1
"668",668,3292,27094,132,9,2019,"Flums",43.3,22.9,8,5.7,7,1.4,0.8,9,1,35
"669",669,29,51246,76,15.4,2019,"Flurlingen",25.1,5,16.7,15.3,14.5,2.1,2,92,10,50.8
"670",670,3951,47759,40,18.2,2019,"Fläsch",34.9,6,12,6.5,13.7,8.6,NA,89,9,44.5
"671",671,1207,38511,76,NA,2019,"Flüelen",42.1,32.7,21.1,NA,NA,NA,NA,69,7,47.6
"672",672,1004,23422,45,13.9,2019,"Flühli",40.1,39.3,2,2.5,1.8,NA,0.2,3,1,64.7
"673",673,5557,35507,8,12.8,2019,"Fontaines-sur-Grandson",29,0.7,15.8,31.3,5.7,0.5,0,55,6,38.9
"674",674,6790,30800,52,7.6,2019,"Fontenais",9.3,18.4,49.3,10.6,NA,NA,4.7,26,3,52.6
"675",675,5604,37791,78,32.3,2019,"Forel (Lavaux)",24,1.8,14.5,13.3,7.4,0.3,1.1,66,7,45.7
"676",676,948,29581,23,4.1,2019,"Forst-Längenbühl",54.7,0.8,5.6,8.7,7,4.6,5.3,18,2,55.8
"677",677,5717,68448,258,33.3,2019,"Founex",20.1,5.7,11,14.8,12.4,0.2,0.3,98,10,44
"678",678,5105,29198,3,2,2019,"Frasco",16.6,17.7,9.1,13.4,0,NA,NA,16,2,47.7
"679",679,538,36266,188,7.2,2019,"Fraubrunnen",32.9,1.5,11.4,11.8,10,14.1,5.3,58,6,54
"680",680,4566,39187,1010,14.3,2019,"Frauenfeld",26.6,10.4,18.1,13,10.6,1.9,3.3,71,8,44
"681",681,663,41758,51,8.4,2019,"Frauenkappelen",31.8,2.2,11.7,10.8,16.6,10.2,3.5,79,8,53.2
"682",682,1322,108307,1788,25.7,2019,"Freienbach",37.7,11.9,13.2,3.8,6.7,NA,1,100,10,46.8
"683",683,57,41564,99,8,2019,"Freienstein-Teufen",37.7,2.3,11.5,10.8,12.7,2.3,9.9,79,8,52.5
"684",684,4028,39917,41,17.7,2019,"Freienwil",20.2,9.8,17.1,13.9,8.2,4.6,5.3,74,8,58.4
"685",685,607,31763,14,6.4,2019,"Freimettigen",34.5,1.3,7.4,11.3,3.6,10.6,11.9,31,4,46.6
"686",686,2824,35768,231,17.1,2019,"Frenkendorf",23.8,5.1,31.6,12.8,6.2,1,2.4,56,6,40.7
"687",687,2196,30664,1171,9.1,2019,"Fribourg",9.7,15.5,29.4,20.9,5.5,0.4,6.1,25,3,46.6
"688",688,4163,38323,217,11.7,2019,"Frick",29.2,15.4,16.5,9.3,7.1,2.9,3.1,68,7,43.2
"689",689,5523,39444,104,19.9,2019,"Froideville",32.3,2.1,16.9,12.9,9,0.5,0.5,72,8,47.2
"690",690,563,26447,184,3.9,2019,"Frutigen",41.2,0.6,6.5,3.9,12.4,5.2,10.2,7,1,53.7
"691",691,2258,38446,17,11,2019,"Fräschels",39,7.9,10.4,8.1,11,2,7.5,69,7,57.5
"692",692,2575,35299,63,14.5,2019,"Fulenbach",28.8,21.1,15.5,10.3,4.8,3.3,1.3,53,6,43.7
"693",693,4307,35953,32,17.1,2019,"Full-Reuenthal",41.1,11.3,12.3,4.8,3.4,3.1,3.1,57,6,47.9
"694",694,6133,30072,263,19.8,2019,"Fully",16.6,26.9,19.8,12.6,0.6,NA,1.8,21,3,54.8
"695",695,3862,21374,4,2.1,2019,"Furna",70.7,2.4,7.7,1.1,0.5,15.5,NA,1,1,49.4
"696",696,193,46285,402,17.8,2019,"Fällanden",27.5,5,14.6,12.9,14.9,2.6,1.7,88,9,42.5
"697",697,5427,70598,61,35.6,2019,"Féchy",23.1,2.3,11.7,10.5,11.6,0.6,1.1,98,10,54.1
"698",698,2016,32037,34,14.1,2019,"Fétigny",39.1,14.5,16.7,7.3,4.4,0.7,1.9,33,4,42.6
"699",699,2825,41000,188,19.8,2019,"Füllinsdorf",27.2,5.2,22.8,14.3,5.2,1.4,4,77,8,41.5
"700",700,3633,37129,13,15.2,2019,"Fürstenau",32.8,7.4,17,5,7,15.5,NA,63,7,50
"701",701,4571,38870,173,13.9,2019,"Gachnang",37.4,12.1,10.7,9,10.5,2.9,2.1,70,7,43.6
"702",702,3022,36990,113,52.9,2019,"Gais",45.1,NA,NA,NA,NA,NA,NA,62,7,45.3
"703",703,3442,41826,348,23.5,2019,"Gaiserwald",26.5,20.3,10.7,7.6,7.9,0.7,1.5,80,8,45.8
"704",704,1342,42093,220,23,2019,"Galgenen",43,11.5,14.8,2.8,4.2,NA,0.8,80,8,45.4
"705",705,2259,34478,25,16.6,2019,"Galmiz",37.2,3.6,20.3,7.3,7.7,0.6,3.4,47,5,44.4
"706",706,494,38184,32,6.6,2019,"Gals",31.5,3.5,13.3,13.8,11,8.9,3.6,68,7,38.3
"707",707,5398,31187,160,21.8,2019,"Gambarogno",12,18.7,14.9,12.1,1,NA,NA,28,3,43.2
"708",708,6118,30122,59,1.4,2019,"Gampel-Bratsch",26.8,62.7,4.5,3.8,0.5,NA,0.1,21,3,73.3
"709",709,495,36700,35,9.8,2019,"Gampelen",38.6,2.2,12.2,11.7,6.7,7.9,4.3,61,7,40.6
"710",710,3272,31381,111,14.2,2019,"Gams",32,30.1,6.6,7.3,5.3,0.5,2.6,29,3,45.9
"711",711,4164,36848,39,5.7,2019,"Gansingen",38.7,27.3,9.8,7.3,4.6,3,0.9,62,7,54
"712",712,4029,38150,208,14,2019,"Gebenstorf",26.7,11.5,17.7,10.5,9.9,3.2,3.9,67,7,44.5
"713",713,2846,35637,223,14.2,2019,"Gelterkinden",23.6,4.1,24.8,22.6,4.3,0.9,5.4,55,6,46.5
"714",714,4232,42139,9,13.8,2019,"Geltwil",41.2,23.9,7.9,4.7,5.8,0.9,0.7,80,8,49.7
"715",715,2474,43175,39,19.2,2019,"Gempen",24.2,4.6,18.9,22.8,6.6,0.9,0.5,83,9,51.4
"716",716,2260,41209,13,10.9,2019,"Gempenach",52.1,3.8,11.6,8.2,5.3,2.1,2.9,78,8,45.6
"717",717,5718,68050,136,36.7,2019,"Genolier",18,3.3,11.9,15.2,10.9,0.1,1.7,98,10,52.1
"718",718,6622,89502,254,25.8,2019,"Genthod",15.6,9.1,9.2,22.8,6.3,0.3,1.1,99,10,47.8
"719",719,6621,37651,7679,15.1,2019,"Genève",12.6,5.4,17.9,26,5,0.2,0.7,65,7,39.6
"720",720,2519,26832,143,15.5,2019,"Gerlafingen",27.7,5.9,32.7,8.5,4.7,1.6,1.1,8,1,37
"721",721,244,40326,199,16.6,2019,"Geroldswil",41.3,10.6,9.9,5.4,10.5,1.4,2,75,8,36.3
"722",722,1311,42560,99,30.3,2019,"Gersau",28.8,21.4,12.2,3.4,3.4,NA,0.6,81,9,51.3
"723",723,866,43153,53,7,2019,"Gerzensee",41.1,0.8,11.1,11.4,9.7,7.9,2.2,83,9,54.5
"724",724,1130,22987,27,23.3,2019,"Gettnau",29.9,38.4,3,4,1,NA,0,2,1,46.7
"725",725,1085,31024,89,14.1,2019,"Geuensee",27.5,25,12.4,13.7,6.2,NA,0.6,27,3,43.4
"726",726,2236,33142,252,15.8,2019,"Gibloux",16.2,18.7,22.4,11.6,4.8,0.7,6.4,40,4,41.3
"727",727,2826,39278,41,15.3,2019,"Giebenach",41.1,11.6,12.1,13,3.3,1.6,1.7,72,8,36.1
"728",728,5559,47058,19,24.5,2019,"Giez",21.3,1,20.6,22.1,7.8,0.2,0.7,88,9,46
"729",729,2294,31440,51,9.1,2019,"Giffers",33.9,17.5,18.8,7.2,7.9,0.8,2.2,29,3,37.8
"730",730,5857,55491,76,22.7,2019,"Gilly",28.5,2.9,10.9,18.1,12.1,1.3,0.8,94,10,47.1
"731",731,5428,33001,74,26,2019,"Gimel",20.6,3.2,16.9,14.2,9.2,1.6,5.1,39,4,38.4
"732",732,5719,64613,80,28.9,2019,"Gingins",19.2,3.7,16.6,16.2,11,0,0.1,97,10,48.5
"733",733,5073,25467,21,15.6,2019,"Giornico",7.6,30.8,13.4,8.1,0,NA,NA,4,1,48.2
"734",734,4165,43445,158,9.5,2019,"Gipf-Oberfrick",27.7,13.4,17.9,11.3,10.5,3.4,1.9,83,9,50.9
"735",735,1055,45092,64,20.2,2019,"Gisikon",37.7,19.2,7.5,5.3,9.1,NA,0.3,86,9,42.5
"736",736,1403,29863,109,8.6,2019,"Giswil",41.8,35.2,3.4,NA,NA,NA,NA,20,2,50.7
"737",737,2197,32476,103,15.3,2019,"Givisiez",16.7,17.4,26.1,12.9,5.2,0.5,3.6,36,4,40.9
"738",738,5720,62165,64,29,2019,"Givrins",16,1.7,14.9,22.5,12.2,0.2,0.9,97,10,49.8
"739",739,5721,39899,526,22.6,2019,"Gland",18.1,4.4,18.9,17.8,10.9,0.2,2.5,74,8,37.2
"740",740,1632,34244,428,NA,2019,"Glarus",NA,NA,29.8,2.8,NA,61.7,NA,46,5,41.1
"741",741,1630,33133,617,NA,2019,"Glarus Nord",NA,NA,27.7,1.7,NA,64.6,NA,40,4,34.9
"742",742,1631,31986,302,NA,2019,"Glarus Süd",NA,NA,27.2,4.1,NA,62.4,NA,32,4,46.9
"743",743,58,36594,191,8.7,2019,"Glattfelden",41.9,2.6,14.3,10.2,12.5,2.2,3.8,60,6,38.8
"744",744,2022,35030,38,16.1,2019,"Gletterens",30.4,7.1,24.4,7.8,6.8,1.9,4,51,6,40.4
"745",745,3213,37524,357,16,2019,"Goldach",34.3,18.5,13.4,7.4,6.6,0.6,1.1,65,7,38.4
"746",746,5484,40584,38,15.7,2019,"Gollion",31.1,1.4,14.6,19.3,10.3,0.3,3.2,76,8,46.1
"747",747,3341,38337,200,13.3,2019,"Gommiswald",42.8,18.7,6,10.2,5.6,0.4,0.6,68,7,42.7
"748",748,6077,28739,34,1.2,2019,"Goms",22.7,60.5,6.8,6.9,1.7,NA,0.1,14,2,60.6
"749",749,326,26329,19,5.7,2019,"Gondiswil",55.9,1.7,7.9,4.2,3.6,10.5,2.9,6,1,47.6
"750",750,3102,32990,48,NA,2019,"Gonten",50.2,42.6,6.2,NA,NA,NA,NA,39,4,54.9
"751",751,4135,35124,76,11.4,2019,"Gontenschwil",44.5,4,8.7,6.6,4.8,2.8,8.5,52,6,43
"752",752,5108,31198,146,14.9,2019,"Gordola",10.5,27.4,16.1,9.7,0.6,NA,NA,28,3,50.8
"753",753,3443,36123,654,13.7,2019,"Gossau (SG)",33.4,23.2,11.6,7.2,7.5,0.7,1.2,58,6,39.3
"754",754,115,41027,422,14.3,2019,"Gossau (ZH)",36.1,3.8,9.8,10.2,11.2,2.1,7.1,77,8,46.1
"755",755,4651,49316,16,19.3,2019,"Gottlieben",23.3,9.4,8.1,21.2,10.4,5,3.2,90,9,61.3
"756",756,5541,37826,43,25.8,2019,"Goumoëns",28,2.1,12.2,12.7,11.9,1.1,1.3,66,7,46.5
"757",757,976,28345,10,3,2019,"Graben",56.6,1,10.1,10.2,5.3,5.8,1.9,13,2,48.9
"758",758,3273,33176,237,20.4,2019,"Grabs",28.7,11.6,12.8,9.9,7.4,0.9,5.6,40,5,42.2
"759",759,5186,32627,15,17,2019,"Grancia",11,29.8,7,5.2,1,NA,NA,36,4,38
"760",760,5485,48540,19,27.7,2019,"Grancy",24.5,2.5,12.4,19,9.9,0.1,1.1,90,9,55
