"","GEO_NAME","GEO_ID.y","net_income_mio","net_income_per_hab","Regions-ID","perc","decile","GEO_ID.x","party_share","share"
"149","Adlikon",21,22,38520,21,84,9,21,"share_pdc",0.7
"150","Adlikon",21,22,38520,21,84,9,21,"plr_share",7.633673355
"151","Benken (ZH)",22,29,35512,22,76,8,22,"pbd_share",11.8
"152","Benken (ZH)",22,29,35512,22,76,8,22,"vert_share",7.6
"153","Benken (ZH)",22,29,35512,22,76,8,22,"pst_sol_share",0.3
"154","Benken (ZH)",22,29,35512,22,76,8,22,"pvl_share",5.3
"155","Benken (ZH)",22,29,35512,22,76,8,22,"pev_share",1.3
"156","Benken (ZH)",22,29,35512,22,76,8,22,"udc_share",47.4
"157","Benken (ZH)",22,29,35512,22,76,8,22,"pss_share.x",10.4
"158","Benken (ZH)",22,29,35512,22,76,8,22,"pss_share.y",10.4
"159","Benken (ZH)",22,29,35512,22,76,8,22,"share_pdc",2.4
"160","Benken (ZH)",22,29,35512,22,76,8,22,"plr_share",6.3036338595
"161","Berg am Irchel",23,24,41603,23,88,9,23,"pbd_share",7.6
"162","Berg am Irchel",23,24,41603,23,88,9,23,"vert_share",7.6
"163","Berg am Irchel",23,24,41603,23,88,9,23,"pst_sol_share",0
"164","Berg am Irchel",23,24,41603,23,88,9,23,"pvl_share",10.4
"165","Berg am Irchel",23,24,41603,23,88,9,23,"pev_share",2.4
"166","Berg am Irchel",23,24,41603,23,88,9,23,"udc_share",51.2
"167","Berg am Irchel",23,24,41603,23,88,9,23,"pss_share.x",6.6
"168","Berg am Irchel",23,24,41603,23,88,9,23,"pss_share.y",6.6
"169","Berg am Irchel",23,24,41603,23,88,9,23,"share_pdc",1.8
"170","Berg am Irchel",23,24,41603,23,88,9,23,"plr_share",7.559441305
"171","Buch am Irchel",24,32,36045,24,77,8,24,"pbd_share",7.7
"172","Buch am Irchel",24,32,36045,24,77,8,24,"vert_share",3.2
"173","Buch am Irchel",24,32,36045,24,77,8,24,"pst_sol_share",0
"174","Buch am Irchel",24,32,36045,24,77,8,24,"pvl_share",12.8
"175","Buch am Irchel",24,32,36045,24,77,8,24,"pev_share",1.5
"176","Buch am Irchel",24,32,36045,24,77,8,24,"udc_share",49.5
"177","Buch am Irchel",24,32,36045,24,77,8,24,"pss_share.x",6.4
"178","Buch am Irchel",24,32,36045,24,77,8,24,"pss_share.y",6.4
"179","Buch am Irchel",24,32,36045,24,77,8,24,"share_pdc",1.4
"180","Buch am Irchel",24,32,36045,24,77,8,24,"plr_share",9.4964736756
"181","Dachsen",25,72,36564,25,79,8,25,"pbd_share",8.4
"182","Dachsen",25,72,36564,25,79,8,25,"vert_share",10.9
"183","Dachsen",25,72,36564,25,79,8,25,"pst_sol_share",0.1
"184","Dachsen",25,72,36564,25,79,8,25,"pvl_share",10.8
"185","Dachsen",25,72,36564,25,79,8,25,"pev_share",2.9
"186","Dachsen",25,72,36564,25,79,8,25,"udc_share",29.4
"187","Dachsen",25,72,36564,25,79,8,25,"pss_share.x",16.8
"188","Dachsen",25,72,36564,25,79,8,25,"pss_share.y",16.8
"189","Dachsen",25,72,36564,25,79,8,25,"share_pdc",5.3
"190","Dachsen",25,72,36564,25,79,8,25,"plr_share",10.7654042893
"191","Dorf",26,23,36497,26,79,8,26,"pbd_share",5.8
"192","Dorf",26,23,36497,26,79,8,26,"vert_share",3.4
"193","Dorf",26,23,36497,26,79,8,26,"pst_sol_share",0
"194","Dorf",26,23,36497,26,79,8,26,"pvl_share",7.2
"195","Dorf",26,23,36497,26,79,8,26,"pev_share",2.5
"196","Dorf",26,23,36497,26,79,8,26,"udc_share",50.4
"197","Dorf",26,23,36497,26,79,8,26,"pss_share.x",11.4
"198","Dorf",26,23,36497,26,79,8,26,"pss_share.y",11.4
"199","Dorf",26,23,36497,26,79,8,26,"share_pdc",1.3
"200","Dorf",26,23,36497,26,79,8,26,"plr_share",6.3887185776
"201","Feuerthalen",27,125,35926,27,77,8,27,"pbd_share",9.3
"202","Feuerthalen",27,125,35926,27,77,8,27,"vert_share",7.9
"203","Feuerthalen",27,125,35926,27,77,8,27,"pst_sol_share",0.1
"204","Feuerthalen",27,125,35926,27,77,8,27,"pvl_share",9.7
"205","Feuerthalen",27,125,35926,27,77,8,27,"pev_share",2.7
"206","Feuerthalen",27,125,35926,27,77,8,27,"udc_share",32.8
"207","Feuerthalen",27,125,35926,27,77,8,27,"pss_share.x",20.4
"208","Feuerthalen",27,125,35926,27,77,8,27,"pss_share.y",20.4
"209","Feuerthalen",27,125,35926,27,77,8,27,"share_pdc",5
"210","Feuerthalen",27,125,35926,27,77,8,27,"plr_share",7.2865606111
"211","Flaach",28,43,34436,28,72,8,28,"pbd_share",4.8
"212","Flaach",28,43,34436,28,72,8,28,"vert_share",4.1
"213","Flaach",28,43,34436,28,72,8,28,"pst_sol_share",0
"214","Flaach",28,43,34436,28,72,8,28,"pvl_share",7.5
"215","Flaach",28,43,34436,28,72,8,28,"pev_share",5.4
"216","Flaach",28,43,34436,28,72,8,28,"udc_share",52.7
"217","Flaach",28,43,34436,28,72,8,28,"pss_share.x",9
"218","Flaach",28,43,34436,28,72,8,28,"pss_share.y",9
"219","Flaach",28,43,34436,28,72,8,28,"share_pdc",2.1
"220","Flaach",28,43,34436,28,72,8,28,"plr_share",7.2186110161
"221","Flurlingen",29,64,44473,29,92,10,29,"pbd_share",6.4
"222","Flurlingen",29,64,44473,29,92,10,29,"vert_share",10.1
"223","Flurlingen",29,64,44473,29,92,10,29,"pst_sol_share",0.1
"224","Flurlingen",29,64,44473,29,92,10,29,"pvl_share",12.8
"225","Flurlingen",29,64,44473,29,92,10,29,"pev_share",2.5
"226","Flurlingen",29,64,44473,29,92,10,29,"udc_share",26.4
"227","Flurlingen",29,64,44473,29,92,10,29,"pss_share.x",19.6
"228","Flurlingen",29,64,44473,29,92,10,29,"pss_share.y",19.6
"229","Flurlingen",29,64,44473,29,92,10,29,"share_pdc",5.2
"230","Flurlingen",29,64,44473,29,92,10,29,"plr_share",12.6532797858
"231","Andelfingen",30,83,41944,30,89,9,30,"pbd_share",6.5
"232","Andelfingen",30,83,41944,30,89,9,30,"vert_share",7.7
"233","Andelfingen",30,83,41944,30,89,9,30,"pst_sol_share",0.1
"234","Andelfingen",30,83,41944,30,89,9,30,"pvl_share",12.5
"235","Andelfingen",30,83,41944,30,89,9,30,"pev_share",6.7
"236","Andelfingen",30,83,41944,30,89,9,30,"udc_share",36
"237","Andelfingen",30,83,41944,30,89,9,30,"pss_share.x",13.6
"238","Andelfingen",30,83,41944,30,89,9,30,"pss_share.y",13.6
"239","Andelfingen",30,83,41944,30,89,9,30,"share_pdc",2.4
"240","Andelfingen",30,83,41944,30,89,9,30,"plr_share",11.2926638627
"241","Henggart",31,81,36240,31,78,8,31,"pbd_share",9.3
"242","Henggart",31,81,36240,31,78,8,31,"vert_share",4.8
"243","Henggart",31,81,36240,31,78,8,31,"pst_sol_share",0.3
"244","Henggart",31,81,36240,31,78,8,31,"pvl_share",11.5
"245","Henggart",31,81,36240,31,78,8,31,"pev_share",5.3
"246","Henggart",31,81,36240,31,78,8,31,"udc_share",39.8
"247","Henggart",31,81,36240,31,78,8,31,"pss_share.x",12.7
"248","Henggart",31,81,36240,31,78,8,31,"pss_share.y",12.7
"249","Henggart",31,81,36240,31,78,8,31,"share_pdc",2.2
"250","Henggart",31,81,36240,31,78,8,31,"plr_share",8.6432668374
"251","Humlikon",32,17,35987,32,77,8,32,"pbd_share",8.1
"252","Humlikon",32,17,35987,32,77,8,32,"vert_share",2.6
"253","Humlikon",32,17,35987,32,77,8,32,"pst_sol_share",0
"254","Humlikon",32,17,35987,32,77,8,32,"pvl_share",7.6
"255","Humlikon",32,17,35987,32,77,8,32,"pev_share",1.9
"256","Humlikon",32,17,35987,32,77,8,32,"udc_share",54
"257","Humlikon",32,17,35987,32,77,8,32,"pss_share.x",7.5
"258","Humlikon",32,17,35987,32,77,8,32,"pss_share.y",7.5
"259","Humlikon",32,17,35987,32,77,8,32,"share_pdc",1.9
"260","Humlikon",32,17,35987,32,77,8,32,"plr_share",9.0857867305
"261","Kleinandelfingen",33,71,34938,33,74,8,33,"pbd_share",10.1
"262","Kleinandelfingen",33,71,34938,33,74,8,33,"vert_share",5.1
"263","Kleinandelfingen",33,71,34938,33,74,8,33,"pst_sol_share",0.1
"264","Kleinandelfingen",33,71,34938,33,74,8,33,"pvl_share",13.9
"265","Kleinandelfingen",33,71,34938,33,74,8,33,"pev_share",3.7
"266","Kleinandelfingen",33,71,34938,33,74,8,33,"udc_share",37.2
"267","Kleinandelfingen",33,71,34938,33,74,8,33,"pss_share.x",13.2
"268","Kleinandelfingen",33,71,34938,33,74,8,33,"pss_share.y",13.2
"269","Kleinandelfingen",33,71,34938,33,74,8,33,"share_pdc",2
"270","Kleinandelfingen",33,71,34938,33,74,8,33,"plr_share",9.3993494213
"271","Laufen-Uhwiesen",34,63,41325,34,88,9,34,"pbd_share",11.1
"272","Laufen-Uhwiesen",34,63,41325,34,88,9,34,"vert_share",6
"273","Laufen-Uhwiesen",34,63,41325,34,88,9,34,"pst_sol_share",0
"274","Laufen-Uhwiesen",34,63,41325,34,88,9,34,"pvl_share",13
"275","Laufen-Uhwiesen",34,63,41325,34,88,9,34,"pev_share",2
"276","Laufen-Uhwiesen",34,63,41325,34,88,9,34,"udc_share",35.1
"277","Laufen-Uhwiesen",34,63,41325,34,88,9,34,"pss_share.x",10.8
"278","Laufen-Uhwiesen",34,63,41325,34,88,9,34,"pss_share.y",10.8
"279","Laufen-Uhwiesen",34,63,41325,34,88,9,34,"share_pdc",3.8
"280","Laufen-Uhwiesen",34,63,41325,34,88,9,34,"plr_share",11.4354847194
"281","Marthalen",35,70,35570,35,76,8,35,"pbd_share",8.6
"282","Marthalen",35,70,35570,35,76,8,35,"vert_share",7.6
"283","Marthalen",35,70,35570,35,76,8,35,"pst_sol_share",0
"284","Marthalen",35,70,35570,35,76,8,35,"pvl_share",6.5
"285","Marthalen",35,70,35570,35,76,8,35,"pev_share",4.2
"286","Marthalen",35,70,35570,35,76,8,35,"udc_share",48.5
"287","Marthalen",35,70,35570,35,76,8,35,"pss_share.x",10.5
"288","Marthalen",35,70,35570,35,76,8,35,"pss_share.y",10.5
"289","Marthalen",35,70,35570,35,76,8,35,"share_pdc",2.3
"290","Marthalen",35,70,35570,35,76,8,35,"plr_share",4.9549237171
"291","Oberstammheim",36,33,30150,36,50,5,36,"pbd_share",6.9
"292","Oberstammheim",36,33,30150,36,50,5,36,"vert_share",7.7
"293","Oberstammheim",36,33,30150,36,50,5,36,"pst_sol_share",0.1
"294","Oberstammheim",36,33,30150,36,50,5,36,"pvl_share",7.3
"295","Oberstammheim",36,33,30150,36,50,5,36,"pev_share",3
"296","Oberstammheim",36,33,30150,36,50,5,36,"udc_share",37.7
"297","Oberstammheim",36,33,30150,36,50,5,36,"pss_share.x",11.3
"298","Oberstammheim",36,33,30150,36,50,5,36,"pss_share.y",11.3
"299","Oberstammheim",36,33,30150,36,50,5,36,"share_pdc",1.4
"300","Oberstammheim",36,33,30150,36,50,5,36,"plr_share",19.1345086919
"301","Ossingen",37,43,32050,37,61,7,37,"pbd_share",11.1
"302","Ossingen",37,43,32050,37,61,7,37,"vert_share",6.8
"303","Ossingen",37,43,32050,37,61,7,37,"pst_sol_share",0
"304","Ossingen",37,43,32050,37,61,7,37,"pvl_share",8.1
"305","Ossingen",37,43,32050,37,61,7,37,"pev_share",3.8
"306","Ossingen",37,43,32050,37,61,7,37,"udc_share",41.4
"307","Ossingen",37,43,32050,37,61,7,37,"pss_share.x",10.9
"308","Ossingen",37,43,32050,37,61,7,37,"pss_share.y",10.9
"309","Ossingen",37,43,32050,37,61,7,37,"share_pdc",2.9
"310","Ossingen",37,43,32050,37,61,7,37,"plr_share",9.3060785368
"311","Rheinau",38,43,32594,38,65,7,38,"pbd_share",5.6
"312","Rheinau",38,43,32594,38,65,7,38,"vert_share",10.3
"313","Rheinau",38,43,32594,38,65,7,38,"pst_sol_share",0
"314","Rheinau",38,43,32594,38,65,7,38,"pvl_share",7.8
"315","Rheinau",38,43,32594,38,65,7,38,"pev_share",2.2
"316","Rheinau",38,43,32594,38,65,7,38,"udc_share",29.1
"317","Rheinau",38,43,32594,38,65,7,38,"pss_share.x",20.6
"318","Rheinau",38,43,32594,38,65,7,38,"pss_share.y",20.6
"319","Rheinau",38,43,32594,38,65,7,38,"share_pdc",10.3
"320","Rheinau",38,43,32594,38,65,7,38,"plr_share",6.9865067466
"321","Thalheim an der Thur",39,29,32909,39,66,7,39,"pbd_share",7.4
"322","Thalheim an der Thur",39,29,32909,39,66,7,39,"vert_share",6.6
"323","Thalheim an der Thur",39,29,32909,39,66,7,39,"pst_sol_share",0
"324","Thalheim an der Thur",39,29,32909,39,66,7,39,"pvl_share",9.4
"325","Thalheim an der Thur",39,29,32909,39,66,7,39,"pev_share",4.2
"326","Thalheim an der Thur",39,29,32909,39,66,7,39,"udc_share",49.3
"327","Thalheim an der Thur",39,29,32909,39,66,7,39,"pss_share.x",8
"328","Thalheim an der Thur",39,29,32909,39,66,7,39,"pss_share.y",8
"329","Thalheim an der Thur",39,29,32909,39,66,7,39,"share_pdc",2.8
"330","Thalheim an der Thur",39,29,32909,39,66,7,39,"plr_share",8.6314308682
"331","Trüllikon",40,34,34052,NA,71,8,40,"pbd_share",13.3
"332","Trüllikon",40,34,34052,NA,71,8,40,"vert_share",5.7
"333","Trüllikon",40,34,34052,NA,71,8,40,"pst_sol_share",0.3
"334","Trüllikon",40,34,34052,NA,71,8,40,"pvl_share",8.7
"335","Trüllikon",40,34,34052,NA,71,8,40,"pev_share",2.6
"336","Trüllikon",40,34,34052,NA,71,8,40,"udc_share",43
"337","Trüllikon",40,34,34052,NA,71,8,40,"pss_share.x",13.4
"338","Trüllikon",40,34,34052,NA,71,8,40,"pss_share.y",13.4
